Lat_dec,Long_dec,Elevation,Name
21.865,36.50916,2180,Jabal Asoteriba (new)
20.74583,36.84083,2218,Jabal Erba (new)
-33.97583,-69.88166,5468,Cerro Castillo
57.24111,-131.1675,2987,Scud Peak
36.95055,74.83583,6407,Mintaka Sar
54.14305,-120.57416,2949,Mt. Ovington
41.68944,78.975,5318,Pt. 5318
58.06972,-125.70111,2533,Gataga Peak
36.25583,117.10555,1545,Tai Shan
30.01555,66.82805,3313,Chiltan
34.22972,74.02833,4398,Pt. 4398
35.92833,75.8225,7145,Latok I
28.10416,89.545,6678,Kangcheda I
27.71166,88.31833,6887,Siniolchu
35.5425,101.5025,5000,Pt. 5000�
37.92527,75.87694,5110,Pt. 5110�
29.83333,94.86666,6846,Tiba Kangri
36.41472,82.315,6120,Pt. 6120�
27.77194,87.10333,6758,Tutse
20.93333,-100.18333,3370,Cerro el Zamorano
31.59611,83.44277,6600,Kuhanbo Kang I
56.88555,-130.58,2239,Faisal Peak
-3.07583,37.35166,5895,Kilimanjaro
13.23666,38.3725,4533,Ras Dejen
0.38416,29.87333,5109,Ngaliema
4.2175,9.17166,4040,Mt. Cameroon
-0.15083,37.3075,5199,Mt. Kenya
31.06194,-7.91611,4167,Jebel Toubkal
-1.50444,29.45055,4507,Volc�n Karisimbi
-3.24666,36.74833,4565,Mt. Meru
-21.09555,55.48027,3069,Piton des Neiges
3.58333,8.76666,3011,Pico Basil�
19.79166,18.55,3415,Emi Koussi
-14.02333,48.96583,2876,Maromokotro 
6.82583,39.8175,4400,Sante YeTerara Ch'af
6.20166,10.5175,3011,Mt. Oku
12.93333,24.2275,3042,Jebel Marra
1.11833,34.525,4321,Mt. Elgon
-29.46833,29.26916,3482,Thabana Ntlenyana
-11.75666,43.36166,2361,Le Kartala
23.28888,5.53416,2908,Tahat
-15.95,35.59083,3002,Sapitwa Peak
14.95083,-24.34333,2829,Pico de Fogo
10.71333,37.84833,4100,Ch'ok'e Terara
6.10583,36.7425,3418,Argun
-7.0925,37.61833,2653,Kimhandu
3.94583,32.91,3187,Kinyeti 
-0.31166,36.61416,4001,Oldoinyo Lesatima
10.95166,39.10333,4270,Amba Farit
-4.435,35.4,3420,Mt. Hanang
6.1975,37.38083,3568,Guge
-3.05,35.81916,3682,Loolmalassin
0.26972,6.54166,2024,Pico de S�o Tom�
17.03333,-25.29583,1979,Tope de Coroa 
-2.61333,36.10333,2948,Gelai Peak
12.14083,39.18166,4260,Abune Yosef
31.50833,-6.44333,4071,Ighil M'Goun
34.84055,-4.51722,2456,Koudiet Tirbirhine
13.39083,41.7275,2248,Ramlo
-22.195,46.885,2658,Pic Boby
2.525,34.7725,3083,Moroto
-2.89333,36.22916,2858,Kitumbeine Hill
-21.14916,14.5775,2606,K�nigstein
-15.3575,37.065,2436,Serra Namuli
1.65916,35.3825,3334,Chepunyal Hills
-4.2675,37.93166,2464,Shengena
